Account,date,daily_pnl,classification,value,win_rate,avg_trade_size,num_trades,long_short_ratio,leverage_proxy,daily_volume,profit_per_trade,Crossed,frequency_segment,consistency_segment,profitable_day,leverage_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,Extreme Greed,76.0,0.0,5089.718248587571,177,0.0,130.95708974784063,900880.13,0.0,0.0903954802259887,frequent,inconsistent,False,medium_leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,Extreme Greed,90.0,0.0,7976.664411764705,68,0.0,174.7489183538937,542413.1799999999,0.0,0.058823529411764705,frequent,inconsistent,False,medium_leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,Extreme Greed,83.0,0.0,23734.5,40,0.0,52.48407061533917,949380.0,0.0,0.0,frequent,inconsistent,False,medium_leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,Extreme Greed,94.0,0.0,28186.666666666668,12,0.0,44.189544345353085,338240.0,-1768.9166666666667,0.0,frequent,inconsistent,False,medium_leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,Extreme Greed,79.0,0.4444444444444444,17248.14814814815,27,0.8,479.78036099079065,465700.0,59.37407407407407,0.4444444444444444,frequent,inconsistent,True,high_leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,Extreme Greed,77.0,0.0,16058.536341463414,82,0.0,41.96758359731829,1316799.98,-1613.060975609756,0.0,frequent,inconsistent,False,medium_leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,Extreme Greed,84.0,0.0,48561.68565217392,23,0.0,126.02524467271955,1116918.77,0.0,1.0,frequent,inconsistent,False,medium_leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,Greed,72.0,0.0,36736.36242424243,33,0.0,76.99205129499222,1212299.96,-5321.545456242425,0.0,frequent,inconsistent,False,medium_leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,Extreme Greed,77.0,0.04946236559139785,11410.954021505377,465,0.31728045325779036,92.02511305842125,5306093.62,153.53540666236557,0.07956989247311828,frequent,inconsistent,True,medium_leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,Extreme Greed,76.0,0.5490196078431373,9400.588039215687,51,1.2173913043478262,1.377706972458224,479429.99,788.5999999607843,0.0,frequent,inconsistent,True,low_leverage
